"ITEM_ID","TITLE","RELEASE_YEAR","GENRES"
"346","Backbeat","1993","Drama|Musical"
"347","Bitter Moon","1992","Drama|Film-Noir|Romance"
"348","Bullets Over Broadway","1994","Comedy"
"349","Clear and Present Danger","1994","Action|Crime|Drama|Thriller"
"350",,," The (1994)"""
"351",,," Corrina (1994)"""
"352","Crooklyn","1994","Comedy|Drama"
"353",,," The (1994)"""
"354","Cobb","1994","Drama"
"355",,," The (1994)"""
"356","Forrest Gump","1994","Comedy|Drama|Romance|War"
"357","Four Weddings and a Funeral","1994","Comedy|Romance"
"358","Higher Learning","1995","Drama"
"359","I Like It Like That","1994","Comedy|Drama|Romance"
"360","I Love Trouble","1994","Action|Comedy"
"361","It Could Happen to You","1994","Comedy|Drama|Romance"
"362",,," The (1994)"""
"363",,," Horrible Life of Leni Riefenstahl"
"364",,," The (1994)"""
"365","Little Buddha","1993","Drama"
"366","""Wes Craven's New Nightmare",," A) (1994)"""
"367",,," The (1994)"""
"368","Maverick","1994","Adventure|Comedy|Western"
"369","Mrs. Parker and the Vicious Circle","1994","Drama"
"370","Naked Gun 33 1/3: The Final Insult","1994","Action|Comedy"
"371",,," The (1994)"""
"372","Reality Bites","1994","Comedy|Drama|Romance"
"373","Red Rock West","1992","Thriller"
"374","Richie Rich","1994","Children|Comedy"
"376",,," The (1994)"""
"377","Speed","1994","Action|Romance|Thriller"
"378","Speechless","1994","Comedy|Romance"
"379","Timecop","1994","Action|Sci-Fi|Thriller"
"380","True Lies","1994","Action|Adventure|Comedy|Romance|Thriller"
"381","When a Man Loves a Woman","1994","Drama|Romance"
"382","Wolf","1994","Drama|Horror|Romance|Thriller"
"383","Wyatt Earp","1994","Western"
"384","Bad Company","1995","Action|Crime|Drama"
"385",,," A (1994)"""
"386","S.F.W.","1994","Drama"
"387",,," A (1994)"""
"388","Boys Life","1995","Drama"
"389",,," Le (1994)"""
"390","Faster Pussycat! Kill! Kill!","1965","Action|Crime|Drama"
"391","Jason's Lyric","1994","Crime|Drama"
"393","Street Fighter","1994","Action|Adventure|Fantasy"
"405","Highlander III: The Sorcerer","1994","Action|Fantasy"
"406","Federal Hill","1994","Drama"
"407","In the Mouth of Madness","1995","Horror|Thriller"
"408","8 Seconds","1994","Drama"
"409","Above the Rim","1994","Crime|Drama"
"410","Addams Family Values","1993","Children|Comedy|Fantasy"
"412",,," The (1993)"""
"413","Airheads","1994","Comedy"
"414",,," The (1994)"""
"415","Another Stakeout","1993","Comedy|Thriller"
"416","Bad Girls","1994","Western"
"417","Barcelona","1994","Comedy|Romance"
"418","Being Human","1993","Drama"
"419",,," The (1993)"""
"420","Beverly Hills Cop III","1994","Action|Comedy|Crime|Thriller"
"421","Black Beauty","1994","Adventure|Children|Drama"
"422","Blink","1994","Thriller"
"423","Blown Away","1994","Action|Thriller"
"424","Blue Chips","1994","Drama"
"425","Blue Sky","1994","Drama|Romance"
"426","Body Snatchers","1993","Horror|Sci-Fi|Thriller"
"427","Boxing Helena","1993","Drama|Mystery|Romance|Thriller"
"428",,," A (1993)"""
"429","Cabin Boy","1994","Comedy"
"430","Calendar Girl","1993","Comedy|Drama"
"431","Carlito's Way","1993","Crime|Drama"
"432","City Slickers II: The Legend of Curly's Gold","1994","Adventure|Comedy|Western"
"433","Clean Slate","1994","Comedy"
"434","Cliffhanger","1993","Action|Adventure|Thriller"
"435","Coneheads","1993","Comedy|Sci-Fi"
"436","Color of Night","1994","Drama|Thriller"
"437","Cops and Robbersons","1994","Comedy"
"438",,," The (1994)"""
"440","Dave","1993","Comedy|Romance"
"441","Dazed and Confused","1993","Comedy"
"442","Demolition Man","1993","Action|Adventure|Sci-Fi"
"444","Even Cowgirls Get the Blues","1993","Comedy|Romance"
"445","Fatal Instinct","1993","Comedy"
"446","Farewell My Concubine","1993","Drama|Romance"
"448","Fearless","1993","Drama"
"449","Fear of a Black Hat","1994","Comedy"
"450","With Honors","1994","Comedy|Drama"
"451","Flesh and Bone","1993","Drama|Mystery|Romance"
"452","Widows' Peak","1994","Drama"
"453","For Love or Money","1993","Comedy|Romance"
"454",,," The (1993)"""
"455","Free Willy","1993","Adventure|Children|Drama"
"456","Fresh","1994","Crime|Drama|Thriller"
"457",,," The (1993)"""
"458","Geronimo: An American Legend","1993","Drama|Western"
"459",,," The (1994)"""
"460","Getting Even with Dad","1994","Comedy"
"461","Go Fish","1994","Drama|Romance"
"464","Hard Target","1993","Action|Adventure|Crime|Thriller"
"466","Hot Shots! Part Deux","1993","Action|Comedy|War"
"467","Live Nude Girls","1995","Comedy"
"468",,," The (1995)"""
"469",,," The (1993)"""
"470","House Party 3","1994","Comedy"
"471",,," The (1994)"""
"472","I'll Do Anything","1994","Comedy|Drama"
"473","In the Army Now","1994","Comedy|War"
"474","In the Line of Fire","1993","Action|Thriller"
"475","In the Name of the Father","1993","Drama"
"476",,," The (1994)"""
"477","What's Love Got to Do with It?","1993","Drama|Musical"
"478","Jimmy Hollywood","1994","Comedy|Crime|Drama"
"479","Judgment Night","1993","Action|Crime|Thriller"
"480","Jurassic Park","1993","Action|Adventure|Sci-Fi|Thriller"
"481","Kalifornia","1993","Drama|Thriller"
"482","Killing Zoe","1994","Crime|Drama|Thriller"
"484","Lassie","1994","Adventure|Children"
"485","Last Action Hero","1993","Action|Adventure|Comedy|Fantasy"
"486","Life with Mikey","1993","Comedy"
"487","Lightning Jack","1994","Comedy|Western"
"488","M. Butterfly","1993","Drama|Romance"
"489","Made in America","1993","Comedy"
"490","Malice","1993","Thriller"
"491",,," The (1993)"""
"492","Manhattan Murder Mystery","1993","Comedy|Mystery"
"493","Menace II Society","1993","Action|Crime|Drama"
"494","Executive Decision","1996","Action|Adventure|Thriller"
"495","In the Realm of the Senses","1976","Drama"
"496","What Happened Was...","1994","Comedy|Drama|Romance|Thriller"
"497","Much Ado About Nothing","1993","Comedy|Romance"
"499","Mr. Wonderful","1993","Comedy|Romance"
"500","Mrs. Doubtfire","1993","Comedy|Drama"
"501","Naked","1993","Drama"
"502",,," The (1994)"""
"504","No Escape","1994","Action|Drama|Sci-Fi"
"505","North","1994","Comedy"
"506","Orlando","1992","Drama|Fantasy|Romance"
"507",,," A (1993)"""
"508","Philadelphia","1993","Drama"
"509",,," The (1993)"""
"510","Poetic Justice","1993","Drama"
"511",,," The (1993)"""
"512",,," The (1994)"""
"513","Radioland Murders","1994","Comedy|Mystery|Romance"
"514",,," The (1994)"""
"515",,," The (1993)"""
"516","Renaissance Man","1994","Comedy|Drama"
"517","Rising Sun","1993","Action|Drama|Mystery"
"518",,," The (1994)"""
"519","RoboCop 3","1993","Action|Crime|Drama|Sci-Fi|Thriller"
"520","Robin Hood: Men in Tights","1993","Comedy"
"521","Romeo Is Bleeding","1993","Crime|Thriller"
"522","Romper Stomper","1992","Action|Drama"
"523","Ruby in Paradise","1993","Drama"
"524","Rudy","1993","Drama"
"526","""Savage Nights",," Les) (1992)"""
"527","Schindler's List","1993","Drama|War"
"528",,," The (1994)"""
"529","Searching for Bobby Fischer","1993","Drama"
"531",,," The (1993)"""
"532","Serial Mom","1994","Comedy|Crime|Horror"
"533",,," The (1994)"""
"534","Shadowlands","1993","Drama|Romance"
"535","Short Cuts","1993","Drama"
"536",,," A (1994)"""
"537","Sirens","1994","Drama"
"538","Six Degrees of Separation","1993","Drama"
"539","Sleepless in Seattle","1993","Comedy|Drama|Romance"
"540","Sliver","1993","Thriller"
"541","Blade Runner","1982","Action|Sci-Fi|Thriller"
"542","Son in Law","1993","Comedy|Drama|Romance"
"543","So I Married an Axe Murderer","1993","Comedy|Romance|Thriller"
"544","Striking Distance","1993","Action|Crime"
"546","Super Mario Bros.","1993","Action|Adventure|Children|Comedy|Fantasy|Sci-Fi"
"547","Surviving the Game","1994","Action|Adventure|Thriller"
"548","Terminal Velocity","1994","Action|Mystery|Thriller"
"549","Thirty-Two Short Films About Glenn Gould","1993","Drama|Musical"
"550","Threesome","1994","Comedy|Romance"
"551",,," The (1993)"""
"552",,," The (1993)"""
"553","Tombstone","1993","Action|Drama|Western"
"555","True Romance","1993","Crime|Thriller"
"556",,," The (1993)"""
"558",,," The (1994)"""
"562","Welcome to the Dollhouse","1995","Comedy|Drama"
"563","Germinal","1993","Drama|Romance"
"564","Chasers","1994","Comedy"
"567","Kika","1993","Comedy|Drama"
"568","Bhaji on the Beach","1993","Comedy|Drama"
"569","Little Big League","1994","Comedy|Drama"
"573",,," Professore! (Io speriamo che me la cavo) (1992)"""
"574","Spanking the Monkey","1994","Comedy|Drama"
"575",,," The (1994)"""
"577","Andre","1994","Adventure|Children|Drama"
"579",,," The (Scorta"
"580","Princess Caraboo","1994","Drama"
"581",,," The (1995)"""
"583","Dear Diary","1994","Comedy|Drama"
"585",,," The (1995)"""
"586","Home Alone","1990","Children|Comedy"
"587","Ghost","1990","Comedy|Drama|Fantasy|Romance|Thriller"
"588","Aladdin","1992","Adventure|Animation|Children|Comedy|Musical"
"589","Terminator 2: Judgment Day","1991","Action|Sci-Fi"
"590","Dances with Wolves","1990","Adventure|Drama|Western"
"592","Batman","1989","Action|Crime|Thriller"
"593",,," The (1991)"""
"594","Snow White and the Seven Dwarfs","1937","Animation|Children|Drama|Fantasy|Musical"
"595","Beauty and the Beast","1991","Animation|Children|Fantasy|Musical|Romance|IMAX"
"596","Pinocchio","1940","Animation|Children|Fantasy|Musical"
"597","Pretty Woman","1990","Comedy|Romance"
"599",,," The (1969)"""
"600","Love and a .45","1994","Action|Comedy|Crime"
"602",,," A (1994)"""
"605","One Fine Day","1996","Drama|Romance"
"606","Candyman: Farewell to the Flesh","1995","Fantasy|Horror"
"608","Fargo","1996","Comedy|Crime|Drama|Thriller"
"609","Homeward Bound II: Lost in San Francisco","1996","Adventure|Children"
"610","Heavy Metal","1981","Action|Adventure|Animation|Horror|Sci-Fi"
"611","Hellraiser: Bloodline","1996","Action|Horror|Sci-Fi"
"612",,," The (1996)"""
"613","Jane Eyre","1996","Drama|Romance"
"615","Bread and Chocolate","1973","Comedy|Drama"
"616",,," The (1970)"""
"617",,," The (La flor de mi secreto) (1995)"""
"618","Two Much","1995","Comedy|Romance"
"619","Ed","1996","Comedy"
"626",,," A (1996)"""
"627",,," The (1995)"""
"628","Primal Fear","1996","Crime|Drama|Mystery|Thriller"
"631","All Dogs Go to Heaven 2","1996","Adventure|Animation|Children|Fantasy|Musical|Romance"
"632","Land and Freedom","1995","Drama|War"
"633","Denise Calls Up","1995","Comedy"
"634","Theodore Rex","1995","Comedy"
"635",,," A (1996)"""
"636","Frisk","1995","Drama"
"637","Sgt. Bilko","1996","Comedy"
"638","Jack and Sarah","1995","Romance"
"639","Girl 6","1996","Comedy|Drama"
"640","Diabolique","1996","Drama|Thriller"
"645","Nelly & Monsieur Arnaud","1995","Drama"
"647","Courage Under Fire","1996","Action|Crime|Drama|War"
"648","Mission: Impossible","1996","Action|Adventure|Mystery|Thriller"
"649","Cold Fever","1995","Comedy|Drama"
"650","Moll Flanders","1996","Drama"
"653","Dragonheart","1996","Action|Adventure|Fantasy"
"656","Eddie","1996","Comedy"
"661","James and the Giant Peach","1996","Adventure|Animation|Children|Fantasy|Musical"
"662","Fear","1996","Thriller"
"663","Kids in the Hall: Brain Candy","1996","Comedy"
"665","Underground","1995","Comedy|Drama|War"
"667","Bloodsport 2","1996","Action"
"668","Song of the Little Road","1955","Drama"
"670",,," The (Apur Sansar) (1959)"""
"671","Mystery Science Theater 3000: The Movie","3000","Comedy|Sci-Fi"
"673","Space Jam","1996","Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi"
"674","Barbarella","1968","Adventure|Comedy|Sci-Fi"
"678","Some Folks Call It a Sling Blade","1993","Drama|Thriller"
"679",,," The (1995)"""
"680","""Alphaville",," une étrange aventure de Lemmy Caution) (1965)"""
"685","It's My Party","1996","Drama"
"688","Operation Dumbo Drop","1995","Action|Adventure|Comedy|War"
"691","Mrs. Winterbourne","1996","Comedy|Romance"
"692","Solo","1996","Action|Sci-Fi|Thriller"
"694",,," The (1996)"""
"695","True Crime","1996","Mystery|Thriller"
"697","Feeling Minnesota","1996","Drama|Romance"
"698","Delta of Venus","1995","Drama"
"700","Angus","1995","Comedy"
"703","Boys","1996","Drama"
"704",,," The (1996)"""
"706","Sunset Park","1996","Drama"
"707","Mulholland Falls","1996","Crime|Drama|Thriller"
"708",,," The (1996)"""
"709","Oliver & Company","1988","Adventure|Animation|Children|Comedy|Musical"
"710","Celtic Pride","1996","Comedy"
"711","Flipper","1996","Adventure|Children"
"714","Dead Man","1995","Drama|Mystery|Western"
"715",,," The (Hussard sur le toit"
"718",,," The (Visiteurs"
"719","Multiplicity","1996","Comedy"
"720","Wallace & Gromit: The Best of Aardman Animation","1996","Adventure|Animation|Comedy"
"722",,," The (1996)"""
"724",,," The (1996)"""
"725",,," The (1996)"""
"726","Last Dance","1996","Drama"
"728","Cold Comfort Farm","1995","Comedy"
"731","Heaven's Prisoners","1996","Crime|Thriller"
"733",,," The (1996)"""
"735","Cemetery Man","1994","Horror"
"736","Twister","1996","Action|Adventure|Romance|Thriller"
"737","Barb Wire","1996","Action|Sci-Fi"
"741","Ghost in the Shell","1995","Animation|Sci-Fi"
"742","Thinner","1996","Horror|Thriller"
"743","Spy Hard","1996","Comedy"
"745","Wallace & Gromit: A Close Shave","1995","Animation|Children|Comedy"
"747",,," The (1996)"""
"748",,," The (1996)"""
"750","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","Comedy|War"
"757","Ashes of Time","1994","Drama"
"759","Maya Lin: A Strong Clear Vision","1994","Documentary"
"760","Stalingrad","1993","Drama|War"
"761",,," The (1996)"""
"762","Striptease","1996","Comedy|Crime"
"764","Heavy","1995","Drama|Romance"
"765","Jack","1996","Comedy|Drama"
"766","I Shot Andy Warhol","1996","Drama"
"773","Touki Bouki","1973","Drama"
"775","Spirits of the Dead","1968","Horror|Mystery"
"778","Trainspotting","1996","Comedy|Crime|Drama"
"779","'Til There Was You","1997","Drama|Romance"
